restaurante_id,nome,endereco,cidade,nota,qtd_avaliacoes,categoria_preco,faixa_preco,latitude,longitude,fonte
19126841,Boulevard Tiradentes,"Rua dos Inconfidentes 217, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,128,$$ - $$$,indef,-21.11113166809082,-44.17173385620117,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d19126841-Reviews-Boulevard_Tiradentes-Tiradentes_State_of_Minas_Gerais.html
8007822,Restaurante Caipira,"Estrada do Bichinho Jardim Capote, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,317,$,R$ 15 - R$ 30,-21.106395721435547,-44.154911041259766,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d8007822-Reviews-Restaurante_Caipira-Tiradentes_State_of_Minas_Gerais.html
12480207,50 Tons de Malte,"R. Min. Gabriel Passos, 280 A Loja A - Centro Histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,274,$$ - $$$,R$ 10 - R$ 70,-21.108617782592773,-44.176361083984375,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d12480207-Reviews-50_Tons_de_Malte-Tiradentes_State_of_Minas_Gerais.html
7597549,Entrepot Du Vin,"Rua Direita, 205 Centro, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,668,$$ - $$$,indef,-21.11020278930664,-44.17564010620117,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d7597549-Reviews-Entrepot_du_Vin-Tiradentes_State_of_Minas_Gerais.html
23379452,Pandoro,"Rua Dos Inconfidentes, 488 Centro, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,63,$$ - $$$,R$ 32 - R$ 99,-21.11151695251465,-44.16940689086914,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d23379452-Reviews-Pandoro-Tiradentes_State_of_Minas_Gerais.html
17854036,Alma Restaurante,"Rua Resende Costa 50 Centro histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,119,$$ - $$$,R$ 25 - R$ 140,-21.11065673828125,-44.174560546875,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d17854036-Reviews-Alma_Restaurante-Tiradentes_State_of_Minas_Gerais.html
12881674,Mesquita Empório Árabe,"Rua dos Inconfidentes 184, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,213,$$ - $$$,R$ 7 - R$ 78,-21.11124038696289,-44.17200469970703,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d12881674-Reviews-Mesquita_Emporio_Arabe-Tiradentes_State_of_Minas_Gerais.html
3572226,Empório Santo Antônio,"Rua Bélica 133 Parque das Abelhas, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,868,$$ - $$$,indef,-21.107585906982422,-44.16773223876953,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d3572226-Reviews-Emporio_Santo_Antonio-Tiradentes_State_of_Minas_Gerais.html
14005345,Beco D'ouro Restaurante,"Rua dos Inconfidentes 98 A, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,250,$$ - $$$,R$ 23 - R$ 70,-21.11162757873535,-44.17301559448242,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d14005345-Reviews-Beco_D_ouro_Restaurante-Tiradentes_State_of_Minas_Gerais.html
10749744,Tapioca Maria Bonita,"Rua Direita 232, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,269,$$$$,R$ 15 - R$ 520,-21.110265731811523,-44.175628662109375,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d10749744-Reviews-Tapioca_Maria_Bonita-Tiradentes_State_of_Minas_Gerais.html
4884787,Sabor Rural,"Estrada ao Lado da Estação de Trem Tiradentes-São João Del Rei (4Km), Tiradentes, Minas Gerais Brasil",Tiradentes ,4.5,566,$$ - $$$,indef,-21.123817443847656,-44.14434051513672,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d4884787-Reviews-Sabor_Rural-Tiradentes_State_of_Minas_Gerais.html
17542749,Ora Restaurante,"Rua Ministro Gabriel Passos 131 B, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,155,$$ - $$$,R$ 30 - R$ 109,-21.109386444091797,-44.175601959228516,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d17542749-Reviews-Ora_Restaurante-Tiradentes_State_of_Minas_Gerais.html
2492527,CasAzul Bistro,"Rua Da Cadeia Sem Numero, na rua do Museu de Santana, no final da rua sem saída, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,304,$$ - $$$,R$ 25 - R$ 55,-21.108680725097656,-44.176063537597656,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d2492527-Reviews-CasAzul_Bistro-Tiradentes_State_of_Minas_Gerais.html
8419534,Raiz Mineira Espaço Gourmet,"Rua dos Inconfidentes, 79 Rua dos inconfidentes, 79, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,179,$$ - $$$,R$ 14 - R$ 98,-21.110990524291992,-44.1729736328125,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d8419534-Reviews-Raiz_Mineira_Espaco_Gourmet-Tiradentes_State_of_Minas_Gerais.html
4872874,Sapore D'Italia,"Largo das Forras 60, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,1091,$$ - $$$,indef,-21.11022186279297,-44.17340850830078,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d4872874-Reviews-Sapore_D_Italia-Tiradentes_State_of_Minas_Gerais.html
6479544,Ristorante Gourmeco,"Rua Padre Toledo 346 Centro Histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,695,$$ - $$$,R$ 58 - R$ 95,-21.111053466796875,-44.17517852783203,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d6479544-Reviews-Ristorante_Gourmeco-Tiradentes_State_of_Minas_Gerais.html
3519476,Angatu,"Rua da Cadeia, 38 Centro Tiradentes, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,1266,$$$$,indef,-21.109336853027344,-44.17626190185547,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d3519476-Reviews-Angatu-Tiradentes_State_of_Minas_Gerais.html
21359985,Beta do Rosário,"rua direita 62 A Ao Lado Do Patio Da Igreja Nossa Senhora Do Rosário, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,55,$$ - $$$,indef,-21.109390258789062,-44.17702865600586,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d21359985-Reviews-Beta_do_Rosario-Tiradentes_State_of_Minas_Gerais.html
12979697,Ateliê Gastronomico,"Rua  Henrique Diniz, 133 Centro, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,74,$,R$ 10 - R$ 40,-21.11944007873535,-44.16886520385742,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d12979697-Reviews-Atelie_Gastronomico-Tiradentes_State_of_Minas_Gerais.html
3976407,Hamburguer do Zé,"Rua São Francisco de Paula, 23 Centro Histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,609,$,indef,-21.109830856323242,-44.17347717285156,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d3976407-Reviews-Hamburguer_do_Ze-Tiradentes_State_of_Minas_Gerais.html
4944255,Pacco & Bacco,"Rua Direita, 166, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,1950,$$$$,R$ 55 - R$ 98,-21.10974884033203,-44.176300048828125,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d4944255-Reviews-Pacco_Bacco-Tiradentes_State_of_Minas_Gerais.html
1501371,Tragaluz,"Rua Direita 52 Centro Histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,4682,$$$$,indef,-21.109445571899414,-44.176795959472656,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d1501371-Reviews-Tragaluz-Tiradentes_State_of_Minas_Gerais.html
8144925,Uaithai Tiradentes,"Rua Padre Toledo, 157 Centro Histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,1126,$$ - $$$,R$ 30 - R$ 75,-21.110795974731445,-44.17641830444336,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d8144925-Reviews-Uaithai_Tiradentes-Tiradentes_State_of_Minas_Gerais.html
8854253,Noi Tre Pizzeria,"Rua Francisco de Paula, 13, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,425,$$ - $$$,R$ 18 - R$ 65,-21.1098690032959,-44.17326736450195,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d8854253-Reviews-Noi_Tre_Pizzeria-Tiradentes_State_of_Minas_Gerais.html
4299521,Seu Bartho Pizzaria,"Rua Francisco Candido Barbosa ,31A Centro Histórico,proximo ao chafariz, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,648,$$ - $$$,R$ 38 - R$ 92,-21.106966018676758,-44.176048278808594,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d4299521-Reviews-Seu_Bartho_Pizzaria-Tiradentes_State_of_Minas_Gerais.html
6369195,Restaurante Delicias de Tiradentes,"Rua Sao Francisco de Paula 46 Centro. Ao Lado Da Rodoviaria, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,145,$,indef,-21.10933494567871,-44.17375564575195,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d6369195-Reviews-Restaurante_Delicias_de_Tiradentes-Tiradentes_State_of_Minas_Gerais.html
9804563,Dona Xica,"Rua Ministro Gabriel Passos 26 Centro Historico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,237,$,R$ 157 - R$ 367,-21.109893798828125,-44.17454147338867,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d9804563-Reviews-Dona_Xica-Tiradentes_State_of_Minas_Gerais.html
23397280,Villa Do Chef,"Rua Dos Inconfidentes, 320 Centro, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,44,$$ - $$$,R$ 29 - R$ 125,-21.111417770385742,-44.17084503173828,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d23397280-Reviews-Restaurante_Villa_do_Chef-Tiradentes_State_of_Minas_Gerais.html
2095813,Estalagem do Sabor,"Rua Ministro Gabriel Passos 280-A, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,852,$$ - $$$,R$ 236 - R$ 315,-21.108701705932617,-44.17621994018555,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d2095813-Reviews-Estalagem_do_Sabor-Tiradentes_State_of_Minas_Gerais.html
2649600,Bar do Celso,"Largo das Forras 80, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,1145,$,indef,-21.110248565673828,-44.17375564575195,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d2649600-Reviews-Bar_Do_Celso-Tiradentes_State_of_Minas_Gerais.html
5380143,Cia Do Boi Tiradentes,"Rua dos Inconfidentes 100 St Leste Vl Nova, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,267,$$ - $$$,indef,-21.111225128173828,-44.172882080078125,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d5380143-Reviews-Cia_Do_Boi_Tiradentes-Tiradentes_State_of_Minas_Gerais.html
1831203,Restaurante Virada's do Largo,"Rua do Moinho 11, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,1046,$$ - $$$,indef,-21.105567932128906,-44.174583435058594,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d1831203-Reviews-Restaurante_Virada_s_do_Largo-Tiradentes_State_of_Minas_Gerais.html
2389916,Atrás da Matriz,"Rua Santíssima Trindade, 201 Casa, Tiradentes, Minas Gerais 36235-000 Brasil",Tiradentes ,4.0,1042,$$ - $$$,R$ 28 - R$ 100,-21.111129760742188,-44.17879104614258,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d2389916-Reviews-Atras_da_Matriz-Tiradentes_State_of_Minas_Gerais.html
22461766,Uai Burguer,"Rua Alvarenga Peixoto 683 Cuiaba, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,43,$,R$ 5 - R$ 50,0.0,0.0,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d22461766-Reviews-Uai_Burguer-Tiradentes_State_of_Minas_Gerais.html
12675085,Bistrô Mano a Mano,"Rua dos Inconfidentes 340A, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,157,$,R$ 15 - R$ 42,-21.11127471923828,-44.17046356201172,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d12675085-Reviews-Bistro_Mano_a_Mano-Tiradentes_State_of_Minas_Gerais.html
1983712,Spaghetti Cantina Italiana,"Rua Direita 07 Centro Histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,530,$$ - $$$,R$ 31 - R$ 183,-21.10916519165039,-44.1769905090332,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d1983712-Reviews-Spaghetti_Cantina_Italiana-Tiradentes_State_of_Minas_Gerais.html
5379497,Restaurante Ora Pro Nobis,"Rua da Câmara, 88, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,433,$$ - $$$,indef,-21.107606887817383,-44.17689514160156,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d5379497-Reviews-Restaurante_Ora_Pro_Nobis-Tiradentes_State_of_Minas_Gerais.html
4458939,Restaurante Nossa Terra,"Praca Largo das Forras 60E Centro, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,527,$$ - $$$,indef,-21.11018943786621,-44.17323684692383,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d4458939-Reviews-Restaurante_Nossa_Terra-Tiradentes_State_of_Minas_Gerais.html
5930655,Restaurante Pau de Angu,"Estrada Tiradentes/Bichinho - Marco 03 Bichinho, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,631,$$ - $$$,indef,-21.09832763671875,-44.14856719970703,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d5930655-Reviews-Restaurante_Pau_de_Angu-Tiradentes_State_of_Minas_Gerais.html
7652401,LuTh Bistrô,"Rua Direita, 189 Loja 01 Centro Histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,423,$$ - $$$,R$ 19 - R$ 97,-21.110294342041016,-44.175453186035156,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d7652401-Reviews-LuTh_Bistro-Tiradentes_State_of_Minas_Gerais.html
4272959,Restaurante da Mercês,"Rua Maria Ferreira Barbosa 307 Cuiaba, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,163,$$ - $$$,indef,-21.110980987548828,-44.166290283203125,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d4272959-Reviews-Restaurante_DA_Merces_Estrada_Real-Tiradentes_State_of_Minas_Gerais.html
2389941,Via Destra Ristorante,"Rua Direita, 156 Centro Histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,821,$$ - $$$,R$ 40 - R$ 75,-21.109786987304688,-44.17646026611328,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d2389941-Reviews-Via_Destra_Ristorante-Tiradentes_State_of_Minas_Gerais.html
8844315,Biroska Santo Reis,"Rua da Cadeia, 18 Esquina da rua Ministro Gabriel Passos, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,160,$,R$ 10 - R$ 100,-21.108943939208984,-44.176143646240234,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d8844315-Reviews-Biroska_Santo_Reis-Tiradentes_State_of_Minas_Gerais.html
21210147,Donatello Trattoria,"Rua Frederico Ozanam 330 Centro, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,31,$$$$,R$ 20 - R$ 62,-21.108203887939453,-44.177093505859375,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d21210147-Reviews-Donatello_Trattoria-Tiradentes_State_of_Minas_Gerais.html
17625189,Pasta & Basta Vino i Cucina,"Largo das Forras 86, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,105,$$ - $$$,R$ 19 - R$ 80,-21.110206604003906,-44.17385482788086,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d17625189-Reviews-Pasta_Basta_Vino_i_Cucina-Tiradentes_State_of_Minas_Gerais.html
14048021,Santuario Gourmet Tiradentes,"Rua dos Inconfidentes N 130 Centro Localizado há 100metros do Lago Das Forras, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,71,$$ - $$$,R$ 15 - R$ 80,-21.11118507385254,-44.17278289794922,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d14048021-Reviews-Santuario_Gourmet_Tiradentes-Tiradentes_State_of_Minas_Gerais.html
4358572,Templário,"Praça Largos Das Forras, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,974,$$ - $$$,indef,-21.110050201416016,-44.1734619140625,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d4358572-Reviews-Templario-Tiradentes_State_of_Minas_Gerais.html
4237120,Restaurante Sabor com Arte,"largo das forras 66B Praça Principal da Cidade, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,160,$$ - $$$,R$ 21 - R$ 42,-21.110492706298828,-44.173805236816406,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d4237120-Reviews-Restaurante_Sabor_com_Arte-Tiradentes_State_of_Minas_Gerais.html
7160307,Restaurante Tutu na Gamela,"Avenida Gov. Israel Pinheiro, Tiradentes, Minas Gerais Brasil",Tiradentes ,4.0,201,$$ - $$$,indef,-21.150346755981445,-44.17584991455078,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d7160307-Reviews-Restaurante_Tutu_na_Gamela-Tiradentes_State_of_Minas_Gerais.html
9978278,Taberna dos Inconfidentes,"Rua Direita, 10 Centro, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,120,$$ - $$$,R$ 20 - R$ 150,-21.109193801879883,-44.1771240234375,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d9978278-Reviews-Taberna_dos_Inconfidentes-Tiradentes_State_of_Minas_Gerais.html
21382730,Mia Restaurante,"Rua Direita Centro, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,43,$$ - $$$,R$ 189 - R$ 467,-21.110111236572266,-44.17597198486328,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d21382730-Reviews-Mia_Restaurante-Tiradentes_State_of_Minas_Gerais.html
2389938,Taberna Padre Toledo,"Rua Direita, 250, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,205,$$ - $$$,indef,-21.1102352142334,-44.17576217651367,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d2389938-Reviews-Restaurante_Taberna_Padre_Toledo-Tiradentes_State_of_Minas_Gerais.html
13117452,Cultivo Tiradentes,"Largo do Ó, 13 Centro Histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,33,$$ - $$$,R$ 15 - R$ 40,-21.10856056213379,-44.17704391479492,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d13117452-Reviews-Cultivo_Tiradentes-Tiradentes_State_of_Minas_Gerais.html
4305835,Emporio das Massas,"Frederico Ozanan, 327, Centro, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,176,$$ - $$$,R$ 183 - R$ 367,-21.108413696289062,-44.1768798828125,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d4305835-Reviews-Emporio_das_Massas-Tiradentes_State_of_Minas_Gerais.html
4741048,Montanha's Restaurante,"Rua Ministro Gabriel Passos, 300, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,66,$,R$ 18 - R$ 28,-21.111671447753906,-44.168949127197266,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d4741048-Reviews-Montanha_s_Restaurante-Tiradentes_State_of_Minas_Gerais.html
5755490,Sapore D Italia Ao Ar Livre,"Rua Ministro Gabriel Passos 23 Centro, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,132,$$ - $$$,indef,-21.110218048095703,-44.17335510253906,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d5755490-Reviews-Sapore_D_Italia_Ao_Ar_Livre-Tiradentes_State_of_Minas_Gerais.html
2389926,Conto de Réis Steak House,"Largo das Forras 62 Centro Histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,168,$$ - $$$,indef,-21.110292434692383,-44.173614501953125,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d2389926-Reviews-Conto_De_Reis_Biritaria-Tiradentes_State_of_Minas_Gerais.html
7075458,Mineiríssimo,"Largo das Forras 80, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,125,$$ - $$$,indef,-21.110153198242188,-44.17380142211914,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d7075458-Reviews-Mineirissimo-Tiradentes_State_of_Minas_Gerais.html
3966431,Piú Sapore Pizzeria,"Largo dos Malas, 20, Tiradentes, Minas Gerais 36 325-000 Brasil",Tiradentes ,4.0,263,$$ - $$$,indef,-21.111366271972656,-44.173152923583984,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d3966431-Reviews-Piu_Sapore_Pizzeria-Tiradentes_State_of_Minas_Gerais.html
7116749,Barouk Chopp Beer Café,"Rua Ministro Gabriel Passos, 23, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,3.5,640,$$ - $$$,R$ 33 - R$ 140,-21.11011505126953,-44.17430877685547,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d7116749-Reviews-Barouk_Chopp_Beer_Cafe-Tiradentes_State_of_Minas_Gerais.html
13344997,Restaurante Caipirao,"Rua dos Inconfidentes 477 ao Lado do Posto, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,38,$,indef,-21.111164093017578,-44.16976547241211,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d13344997-Reviews-Restaurante_Caipirao-Tiradentes_State_of_Minas_Gerais.html
6011000,Restaurante Quinto Do Ouro,"Rua Ministro Gabriel Passos 135 Centro histórico, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,96,$$ - $$$,indef,-21.109594345092773,-44.17568588256836,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d6011000-Reviews-Restaurante_Quinto_Do_Ouro-Tiradentes_State_of_Minas_Gerais.html
12828951,Restaurante Pot Quebrado,"Rua Joaquim da Silva Velho 171 Bichinho, Tiradentes, Minas Gerais 36320-000 Brasil",Tiradentes ,4.5,34,$$ - $$$,R$ 12 - R$ 50,-21.099288940429688,-44.117095947265625,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d12828951-Reviews-Restaurante_Pot_Quebrado-Tiradentes_State_of_Minas_Gerais.html
12821057,Petruccio,"Estrada Elvas Escola Entrando Na Estação Do Trem Virar A Direita Na Bifurcação, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,24,$$ - $$$,indef,-21.0916805267334,-44.204959869384766,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d12821057-Reviews-Petruccio-Tiradentes_State_of_Minas_Gerais.html
6180482,HISTÓRIA DE MINAS RESTAURANTE,"Rua Direita 62 A Praça Padre Lourival Salve Rios, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,65,$,indef,-21.109580993652344,-44.17672348022461,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d6180482-Reviews-Historia_de_Minas_Restaurante-Tiradentes_State_of_Minas_Gerais.html
2389936,Quinto do Ouro,"Rua Direita, 159, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,74,$,indef,-21.109394073486328,-44.17549514770508,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d2389936-Reviews-Quinto_do_Ouro-Tiradentes_State_of_Minas_Gerais.html
2389930,Leitão do Luiz Ney,"Final da Rua do Chafariz, Tiradentes, Minas Gerais Brasil",Tiradentes ,4.0,97,$$$$,indef,-21.103483200073242,-44.17352294921875,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d2389930-Reviews-Leitao_Do_Luiz_Ney-Tiradentes_State_of_Minas_Gerais.html
8201458,Acai Da Hora,"R. Alberto Paoluci, 141, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,26,$,indef,-21.109804153442383,-44.16986846923828,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d8201458-Reviews-Acai_Da_Hora-Tiradentes_State_of_Minas_Gerais.html
12794820,Johnn Burguers,"Rua Henrique Diniz 119 Ao lado do Uaitrip, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,20,$,R$ 6 - R$ 34,-21.109100341796875,-44.168582916259766,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d12794820-Reviews-Johnn_Burguers-Tiradentes_State_of_Minas_Gerais.html
4213825,Tempero da Roça,"Rua Ministro Gabriel Passos 62 A, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,68,$,R$ 16 - R$ 39,-21.1097412109375,-44.17489242553711,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d4213825-Reviews-Tempero_da_Roca-Tiradentes_State_of_Minas_Gerais.html
7194344,Sabor de Minas,"Rua Direita 168 Sala Alvarenga Peixoto Perdizes, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,126,$$ - $$$,indef,-21.109758377075195,-44.17482376098633,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d7194344-Reviews-Sabor_de_Minas-Tiradentes_State_of_Minas_Gerais.html
18818815,Távola Restaurant,"Rua Ministro Gabriel Passos Centro, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.5,46,$$ - $$$,R$ 22 - R$ 115,-21.109804153442383,-44.174800872802734,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d18818815-Reviews-Tavola_Restaurant-Tiradentes_State_of_Minas_Gerais.html
21200906,America Burgers and Shakes,"Street Resende Costa, 62, Centro Localizado na Rua Direita, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,53,$,R$ 4 - R$ 27,-21.110671997070312,-44.1744384765625,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d21200906-Reviews-America_Burgers_and_Shakes-Tiradentes_State_of_Minas_Gerais.html
4259167,Barouk Chopp Beer Gourmet,"Rua Ministro Gabriel Passos 23, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,3.5,192,$$ - $$$,R$ 20 - R$ 140,-21.110105514526367,-44.17450714111328,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d4259167-Reviews-Restaurante_Panela_de_Minas-Tiradentes_State_of_Minas_Gerais.html
13422005,Estação Tiradentes,"Rua dos Inconfidentes 355, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,4.0,36,$,R$ 19 - R$ 29,-21.111146926879883,-44.170291900634766,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d13422005-Reviews-Estacao_Tiradentes-Tiradentes_State_of_Minas_Gerais.html
17848441,Temperô Boteco Democrático,"Rua Ministro Gabriel Passos 212, Tiradentes, Minas Gerais 36325-000 Brasil",Tiradentes ,5.0,16,Brasileira,indef,-21.108993530273438,-44.17583465576172,https://www.tripadvisor.com.br/Restaurant_Review-g737098-d17848441-Reviews-Tempero_Boteco_Democratico-Tiradentes_State_of_Minas_Gerais.html
