estabelecimento,estabelecimento_id,estabelecimento_tipo,usuario,data_avaliacao,data_visita,nota,titulo,conteudo,origem
Santa Matula - Casa Bistrô,14140408,restaurante-review,Jana_Gomes,2021-03-01,2021-02-06,5.0,"SENSACIONAL","O restaurante só atende mediante agendamento, um grupo por vez. Na verdade, é a casa da Adriana (proprietária) que serve comida mineira da melhor qualidade. O atendimento, a simpatia da Adriana e da sua mãe compõem ainda mais uma experiência gastronômica mto prazerosa.

Tudo com cuidado, carinho e cautela por causa do COVID, voltarei com certeza!","Belo Horizonte, MG"
Santa Matula - Casa Bistrô,14140408,restaurante-review,Ricardo O,2021-02-28,2021-02-06,5.0,"Almoço da Inconfidência ","Simplesmente a melhor comida mineira de todos os tempos que eu já experimentei.A costelinha estava divina.",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,264MichelleA264,2021-02-18,2021-02-06,5.0,"Melhor experiência gastronômica de OP","Fomos recebidos carinhosamente pela chef Adriana que nos levou a sua ante-sala, degustamos uma cerveja Ouropretana enquanto a entrada era posta a mesa. A comida estava impecável e extremamente saborosa! Amamos tudo! Não deixem de viver essa experiência e façam a reserva com antecedência. Obrigada Adriana por nos receber em sua casa com tanto carinho e afeto.","Belo Horizonte, MG"
Santa Matula - Casa Bistrô,14140408,restaurante-review,fabiolag466,2021-02-15,2021-02-06,5.0,"Comida mineira","Excelente! Acolhedor, encantador, comida e papo ótimos com a anfitriã. Restaurante de porta fechada. É obrigatório reserva, pois a refeição é preparada especialmente pra você. Vale a pena conhecer!","Santo André, SP"
Santa Matula - Casa Bistrô,14140408,restaurante-review,459fernandoaugustoa,2021-02-12,2021-02-06,5.0,"Excelente","A verdadeira experiência mineira. Incrível receptividade, num ambiente autêntico e aconchegante, com comida caseira deliciosa.",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,romulomarcel,2021-01-19,2021-01-06,5.0,"Uma experiência cultural!","Mais que gastronomia: uma experiência cultural!
A proposta do Santa Matula é oferecer ao cliente uma experiência exclusiva, que consiste em ser recebido na casa das anfitriãs, Adriana e sua mãe, para uma refeição deliciosa.
Apenas um grupo, de no máximo 8 pessoas, é recebido por vez, daí a necessidade de reservar e escolher os pratos com antecedência. A comida é preparada apenas para aquele grupo!
Impossível dizer o que estava melhor, se o arroz, a carne de porco, o angu de milho ou o feijão; imperioso elogiar a simpatia das donas. Não fosse isso bastante, tudo acontece num casarão da belíssima Ouro Preto.
Mais que recomendo!","Fortaleza, CE"
Santa Matula - Casa Bistrô,14140408,restaurante-review,Cesar25602,2021-01-11,2020-09-06,5.0,"Melhor de Ouro Preto!","Eu e minha esposa estivemos na Santa Matula em setembro de 2020, após termos visto um vídeo no YouTube, totalmente por acaso, num canal chamado Viver - Curitiba que inspira. Chegamos cedo e fomos recebidos pela Adriana, que nos acomodou na sala da sua própria casa, onde nos serviu uma entrada deliciosa e onde degustamos uma cerveja artesanal bem gelada. Vale um registro a respeito da casa: antiga, é verdade, mas com uma vista deslumbrante do belo cenário de Ouro Preto. A comida (carne de lata, tutu, arroz, couve e torresmo) estava maravilhosa, na quantidade certa, sem economia. Tudo feito com muito capricho e cuidado! Queremos voltar logo!","Brasil"
Santa Matula - Casa Bistrô,14140408,restaurante-review,thiagol422,2021-01-11,2021-01-06,5.0,"Simplesmente incrível","A experiência de jantar é indescritível. Sensação de voltar no tempo ao experimentar deliciosa comida dentro de um casarão colonial de 200 anos de idade. Chef Adriana além de excelente cozinheira é uma anfitriã maravilhosa. Desde o primeiro minuto nos sentimos como se fôssemos da família. Queria poder dar 10 estrelas. Um dia voltarei com certeza.",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,jpvtraveler,2021-01-10,2021-01-06,5.0,"Excelente escolha!","Excelente escolha! Ambiente muito agradável e a proposta de passar um tempo na sala do casarão permite experimentar uma Ouro Preto de outros tempos, em especial aproveitar da vista das sacadas do imóvel. Os pratos, de igual forma, impecáveis, assim como a atenção dispensada pela Adriana. É preciso reservar com antecedência e já escolher o prato que será servido. Recomendo fortemente e espero voltar mais vezes.","Três Corações, MG"
Santa Matula - Casa Bistrô,14140408,restaurante-review,132janainar,2021-01-08,2021-01-06,5.0,"Jantar Maravilhoso","Ambiente acolhedor e intimista, comida deliciosa, música agradável, lugar perfeito para apreciar a comida da chef Adriana.",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,luizfernandop41,2021-01-07,2021-01-06,5.0,"Experiência incrível","Comida extremamente saborosa e bem servida, espaço incrível e experiência exclusiva e super individual. Atendimento excelente e muito bem localizado. O custo benefício é muito compatível com a experiência oferecida.",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,860osmarl,2020-12-29,2020-12-06,5.0,"Jantar em família na cidade de Ouro Preto MG.","Experiência sensacional em Ouro Preto - MG. Jantar personalizado. O restaurante é a própria residência dos proprietários, casa bicentenária ao lado da feira de artesanato. Fomos recebidos na sala de estar da casa onde foram servidas as bebidas e entrada. Depois seguimos para a sala de jantar onde tudo já estava pronto. Comida mineira tradicional perfeitamente temperada. Ingredientes de primeira. Me senti jantando na casa de um parente ou amigo próximo. Muito aconchegante. Preço justo. Altamente recomendável.","Belo Horizonte, MG"
Santa Matula - Casa Bistrô,14140408,restaurante-review,R375VVcrisb,2020-12-27,2020-12-06,5.0,"Uma experiência deliciosa","Me senti acolhida, a Adriana é muito simpática e atenciosa. O ambiente é aconchegante e a comida deliciosa, desde a entrada de batata com molho de queijo, ao prato principal de Carbonara caipira e fechando com chave de ouro a sobremesa de banana flambada com sorvete que é de coner rezando.Ameiii quero voltar mais vezes!",indef
Santa Matula - Casa Bistrô,14140408,restaurante-review,Marcos O,2020-12-22,2020-12-06,5.0,"Santa Matula... Experiência única e especial!!!..","Tivemos o privilégio de conhecer e almoçar no Santa Matula. Uma experiência gastronômica única. Você é recepcionado, acolhido e tratado carinho e simpatia do início ao fim. E o que falar da comida?.. Delicadeza de sabores, temperos, aroma, harmonia, capricho, amor colocado em cada detalhe. Optamos pelo prato Chico Rei, tipicamente mineiro, que vem com a famosa carne da lata, couve, torresmo, tutu de feijão, ovos cozidos, arroz... Simplesmente divino! Se está procurando um local especial para almoçar ou jantar, não deixe de reservar o seu horário, pois a comida é feita com exclusividade para você. Adriana e Dona Ana, vocês são pessoas especiais e que dominam a arte de receber e encantar as pessoas. Muito obrigado por nos receber em sua casa e nos oferecer uma das melhores experiências gastronômicas que já tivemos a oportunidade de ter. Voltaremos sempre é indicamos com louvor o Santa Matula. Parabéns! Forte abraço! Marcos e Karina - Rio de Janeiro","São Pedro da Serra, RJ"
Santa Matula - Casa Bistrô,14140408,restaurante-review,catarinalmeida94,2020-12-21,2020-12-06,5.0,"Adriana é muito simpática e apaixonada pelo o que faz","O frango caipira com quiabo, tutu, arroz e angu estava divinamente incrível! A ambrosia de sobremesa foi a melhor que comemos na vida. Experiência maravilhosa, recomendo a todes.","Rio de Janeiro, RJ"
