atracao_id,nome,endereco,cidade,nota,qtd_avaliacoes,latitude,longitude,fonte
15514341,Floresta Estadual Uaimii - Ouro Preto,"Rodovia BR 356, Km 98 São Bartolomeu, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto,4.5,8,-20.388370513916016,-43.498008728027344,https://www.tripadvisor.com.br/Attraction_Review-g303389-d15514341-Reviews-Floresta_Estadual_Uaimii-Ouro_Preto_State_of_Minas_Gerais.html
13076682,Capela do Padre Faria - Ouro Preto,"Rua Nossa Senhora do Parto, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto,5.0,10,-20.387880325317383,-43.49150085449219,https://www.tripadvisor.com.br/Attraction_Review-g303389-d13076682-Reviews-Capela_do_Padre_Faria-Ouro_Preto_State_of_Minas_Gerais.html
10269288,Largo do Rosário - Ouro Preto,indef,Ouro Preto,4.5,12,0.0,0.0,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10269288-Reviews-Largo_do_Rosario-Ouro_Preto_State_of_Minas_Gerais.html
2389346,Museu de Arte Sacra - Ouro Preto,indef,Ouro Preto,4.0,127,-20.386699676513672,-43.50768280029297,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389346-Reviews-Museu_de_Arte_Sacra-Ouro_Preto_State_of_Minas_Gerais.html
4376909,Museu de Arte Religiosa Paróquia do Pilar - Ouro Preto,"Praca Monsenhor Castilho Barbosa, 17 Pilar, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto,4.5,52,-20.386600494384766,-43.507816314697266,https://www.tripadvisor.com.br/Attraction_Review-g303389-d4376909-Reviews-Paroquia_do_Pilar_Religious_Arts_Museum-Ouro_Preto_State_of_Minas_Gerais.html
10085038,Casa do Pilar - Ouro Preto,indef,Ouro Preto,4.5,4,-20.386699676513672,-43.506568908691406,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10085038-Reviews-Casa_do_Pilar-Ouro_Preto_State_of_Minas_Gerais.html
9795642,SESI Ouro Preto - Centro Cultural e Turistico do Sistema FIEMG,"Praça Tiradentes, 4, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto,4.0,23,-20.38607406616211,-43.5037727355957,https://www.tripadvisor.com.br/Attraction_Review-g303389-d9795642-Reviews-SESI_Ouro_Preto_Centro_Cultural_e_Turistico_do_Sistema_FIEMG-Ouro_Preto_State_of_.html
10117321,Morro da Forca - Ouro Preto,"Rua Pacifico Homem, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto,3.5,15,-20.388599395751953,-43.50584030151367,https://www.tripadvisor.com.br/Attraction_Review-g303389-d10117321-Reviews-Morro_da_Forca-Ouro_Preto_State_of_Minas_Gerais.html
2389266,Our Lady of the Rosario Church - Ouro Preto,indef,Ouro Preto,4.5,55,-20.387849807739258,-43.49296188354492,https://www.tripadvisor.com.br/Attraction_Review-g303389-d2389266-Reviews-Our_Lady_of_the_Rosario_Church-Ouro_Preto_State_of_Minas_Gerais.html
4376906,Museu do Chá - Ouro Preto,"Rodovia do Contorno, Ouro Preto, Minas Gerais 35400-000 Brasil",Ouro Preto,4.0,16,-20.295970916748047,-43.6450309753418,https://www.tripadvisor.com.br/Attraction_Review-g303389-d4376906-Reviews-Tea_Museum-Ouro_Preto_State_of_Minas_Gerais.html
